email_text,class
I just wanted to reach out to you and ask if it's possible to change my module from X to Y.,module_change
I would like to change the module from X to Y. Can you please do the changes?,module_change
I'm writing to notify you that I would like to change my module from X to Y. Could you please help me with the process of changing my module? I look forward to hearing from you soon.,module_change
I would like to change the module from X to Y. Please let me know if it's possible.,module_change
I would like to change the module from X to Y.,module_change
I would like to request a change in the module from X to Y. Please let me know if this is possible.,module_change
"I would like to change the module from ""X"" to ""Y"". Please help me make this change.",module_change
"I would like to change the module from X to Y. I have taken a look at both modules, and I am confident in my decision. I hope you can help me with this.",module_change
I am very impressed with the different modules you offer on your website. I would like to change the module from X to Y. Can you please assist me in changing the module?,module_change
I was wondering if you can help me make the changes to the module on my website. I need to change it from X to Y please.,module_change
I need your help urgently. Can you please help me in changing the module from X to Y? I am waiting for your reply.,module_change
"So sorry to bother you, but I need a favour. I have been trying to change the module from X to Y. Can you help me out?",module_change
Can you please help me in changing the module from X to Y? I really need help with this.,module_change
I hope you are doing well! I was wondering if you could help me in changing the module from X to Y.,module_change
I would like to request a change in module. I would like to switch from X to Y.,module_change
I'm reaching out to you today because I was hoping to request a change of module. I am currently enrolled in Module X but would like to enroll in Module Y. The reason I am requesting this change is because I want to experience something new and different.,module_change
This email is to inform you that I would like to change the module. The current module is [module name]. We are submitting this request for a change of module because we would like to have the current module changed to [new module name]. Please let me know if you have any questions or concerns about this request.,module_change
"I am writing to request a change in the module I am taking. I was originally planning on taking [module name], but I changed my mind and decided to take [module name].",module_change
"I was wondering if it would be possible to change my module from [current module] to [new module]. I really enjoy this course, but I think that switching to a different module will allow me to learn more and grow as a person.",module_change
I'm writing to request a change in module from [current module] from [new module]. The current module isn't working for me and I would like to change to the new one.,module_change
"I'd like to request a change in module. I have learned that the subject matter of this module is no longer aligned with my goals and career aspirations. Therefore, I would like to request a change of module.",module_change
"I'm reaching out to you in regards to the module that I am currently enrolled in. I'm interested in switching the module, and I wanted to know if this would be possible.",module_change
"I am writing to request a change of module. My current module is [module name], but I would like to switch to the new module, which is [new module name].",module_change
I'm writing to request a change in the module you are currently offering. I have found that your current module does not meet my needs and would like to request a different one instead.,module_change
I would like to request that the [module name] module be changed to [module name].,module_change
I am writing this email to request for a change in module. I would like to change the module from [Module Name] to [Module Name].,module_change
Could you please help me with the process of changing my module from X to Y? I look forward to hearing from you soon.,module_change
The purpose of this email is to let you know that I would like to switch from module X to module Y. Would you be able to help me with the process? Thank you.,module_change
The reason I am writing to you is that I would like to change my module frm X to Y. Could you kindly assist me with the process of changing my module? I look forward to hearing from you soon.,module_change
Can you please assist me in changing my module from X to Y. I look forward to hearing from you soon.,module_change
Can you pease help me with the process of changing my module from X to Y? I am looking forward to hearing from you as soon as possible.,module_change
Would you mind helping me with the process of changing my module from X to Y? I look forward to hearing from you soon.,module_change
The reason I am writing this email is to let you know that I would like to change my module from X to Y. I would appreciate if you could guide me through the process. I look forward to hearing from you soon.,module_change
Would you be able to assist me with changing modules from X to Y? I look forward to hearing from you soon.,module_change
I would like to request that you change my module from X to Y. I need your help to change my module. I look forward to hearing from you.,module_change
This email is to inform you that I am interested in changing my module from X to Y. Could you help me with the process of changing my module? I am looking forward to your reply.,module_change
I am reaching out to let you know that I would like to change my module from X to Y. Can you assist me with the process of changing my module? I eagerly await your response.,module_change
I am writing to let you know that I would like to switch my module from X to Y. Could you please help me with the process of changing my module? I am eager to hear back from you.,module_change
I am reaching out to notify you that I am interested in changing my module from X to Y. Could you assist me with the process of changing my module? I look forward to your response.,module_change
This email is to inform you that I would like to change my module from X to Y. Could you help me with the process of changing my module? I am looking forward to hearing from you.,module_change
I am reaching out to notify you that I would like to switch my module from X to Y. Could you assist me with the process of changing my module? I look forward to hearing back from you.,module_change
I just wanted to let you know that I won't be able to attend the classes for the next three days as I'm currently sick. I hope to be back in time for the next session.,sick_leave
I regret to inform you that I have a bad case of the flu and won't be able to make it to any of the classes this week. Please send me the workbook so that I may catch up on what I missed.,sick_leave
I just wanted to let you know I won't be able to attend the classes as I am currently sick. Thank you for understanding.,sick_leave
I am sorry to have to write this email to you but I will not be able to attend the classes for the next couple of days as I am currently sick. Will you be able to give me all the notes and slides? Thank you! Have a great day!,sick_leave
I am writing this email to let you know that I won't be able to attend the classes for the next couple of days as I am currently sick. I hope you understand. I will try my best to make it up for it in the following days.,sick_leave
I hope you are doing well. I just wanted to let you know that I won't be able to attend the classes for the next couple of days as I am currently sick. I hope to see you soon.,sick_leave
I am writing this email to let you know that I won't be able to attend the classes for the next couple of days as I am currently sick. I will be back on my feet in a few days and will resume attending your classes soon.,sick_leave
I regret to inform you that I will be unable to attend the classes for the next few days because I a currently unwell.,sick_leave
"Due to my current illness, I will not be able to attend the classes for the next couple of days.",sick_leave
I am writing this email to let you know that I will be unable to attend the classes for the foreseeable future as I am currently sick.,sick_leave
I wanted to let you know that I will not be able to attend the classes for the next couple of days as I am currently under the weather.,sick_leave
I am sorry to say that I will not be able to attend the classes for the next few days as I am currently feeling ill.,sick_leave
I am reaching out to let you know that I will be unable to attend the classes for the next few days due to my current illness.,sick_leave
I am reaching out to let you know that I will be unable to attend the classes for the next couple of days as I am currently sick and unable to attend classes.,sick_leave
I wanted to let you know that I will be unable to attend the classes for the next few days as I am currently not feeling well.,sick_leave
I am sorry to inform you that I will be unable to attend the classes for the next couple of days as I am currently dealing with a sickness.,sick_leave
"Due to my current state of health, I will not be able to attend the classes for the next few days.",sick_leave
I am writing this email to let you know that I will be unable to attend the classes for the next couple of days as I am currently dealing with a medical issue.,sick_leave
I regret to inform you that I will be unable to attend the classes for the next few days as I am currently feeling under the weather.,sick_leave
I wanted to let you know that I will not be able to attend the classes for the foreseeable future as I am currently dealing with an illness.,sick_leave
I am reaching out to let you know that I will be unable to attend the classes for the foreseeable future as I am currently dealing with a medical issue that prevents me from attending classes.,sick_leave
I regret to inform you that I am unwell and will be unable to attend classes in the coming days.,sick_leave
"Unfortunately, I'm not feeling well at the moment and will have to miss classes until I'm feeling better.",sick_leave
I'm sorry to say that I won't be able to attend classes due to a sudden illness.,sick_leave
I'm writing to let you know that I won't be able to attend classes for the next couple of days due to illness.,sick_leave
I'm afraid I won't be able to make it to classes for the next few days because I'm feeling sick.,sick_leave
My health has taken a turn for the worse and I need to take some time off from classes to focus on getting better.,sick_leave
"I regret to inform you that I will not be able to attend the classes fore the next few days. I am currently not feeling well, and while I am hoping to return to my normal schedule as soon as possible, I do not know how long it will take.",sick_leave
"I am hereby informing you that I will not be able to attend the classes for the next few days because I am not feeling well. This means that my absence will be excused and I will resume attending classes on Monday, September 11th.",sick_leave
"I am sorry to inform you that I will not be able to attend the classes for the next few days. I am currently not feeling well, and I am unable to attend the classes until further notice.",sick_leave
I am writing to inform you that I will not be able to attend the classes for the next few days because I am not feeling well. I apologize for this inconvenience and thank you for your understanding.,sick_leave
"I am sorry to tell you that I not be able attend the classes for the next few days because I am not feeling well. However, it is possible that I will be back by next week.",sick_leave
I am sorry to inform you that I will not be able to attend today's class because I'm feeling a bit sick.,sick_leave
I'm sorry to say that I won't be able to make it to class this morning as I'm feeling a bit unwell. I hope you have a great day!,sick_leave
I'm sorry for missing today's class. I've been feeling a bit sick and didn't want to risk spreading my fever around the classroom.,sick_leave
I hope you're doing well. I just wanted to send you an email to let you know that I won't be able to make it to today's class because I am feeling a bit sick.,sick_leave
I wanted to let you know that I will not be able to make it to class today. I'm feeling a bit sick and I want to focus on resting so I can feel better.,sick_leave
"Sorry to let you know about this, but I will not be able to make it to today's class. I'm feeling a bit sick and don't want to infect others.",sick_leave
I hope you're doing well. I wanted to let you know that I won't be able to make it to the class today. I'm feeling a bit sick and wanted to give myself some time to rest. I'll see you next week.,sick_leave
"I hope you are doing well. I am feeling a bit sick today and won't be able to make it to the class today. I really wanted to come, but it's just not possible under these conditions.",sick_leave
I was planning on attending your class today but I'm feeling a bit sick and need to take some rest. Hope you have an amazing day!,sick_leave
"Unfortunately, I will not be able to attend today's class. It looks like I've caught a cold and I'm feeling a bit sick. Thank you for understanding.",sick_leave
I regret to inform you that I will be absent for a few days as I will be traveling.,travel_leave
I'm sorry to say that I won't be able to attend classes for a few days because I will be traveling.,travel_leave
I am writing this email to inform you that I will not be able to attend classes for a few days due to travel.,travel_leave
I am sorry to inform you that I will be missing classes for a few days as I will be traveling.,travel_leave
I wanted to let you know that I will be absent from classes for a few days due to a travel commitment.,travel_leave
I am sorry to say that I won't be able to attend classes for a few days beacause I will be away on a trip.,travel_leave
I wanted to inform you that I will be absent from classes for a few days as I will be traveling out of town.,travel_leave
I regret to inform you that I will be unable to attend classes for a few days as I will be traveling for personal reasons.,travel_leave
I am writing this email to let you know that I won't be attending classes for a few days/weeks as I will be traveling.,travel_leave
I am writing this email to inform you that I won't be able to atend classes for a few days/weeks because I will be going on a trip.,travel_leave
"I am sending this message to inform you that I won't be able to attend classes for a few days/weeks because I will be going on a trip. I understand that this may come as a surprise, and I apologize for not communicating it sooner.",travel_leave
I am writing to inform you that I will not be able to attend classes for the next two weeks. I will be leaving on [date]. I hope you understand.,travel_leave
I'm writing to let you know that I'll be taking a trip and won't be able to attend classes for a few days or weeks.,travel_leave
I am sending this email to let you know that I will be taking some time off because I will be traveling in the coming days/weeks.,travel_leave
I am sending this email to let you know that I will be absent from classes for a few days/weeks because I will be traveling.,travel_leave
I wanted to inform you that I will not be able to attend classes for a few days/weeks due to my upcoming trip.,travel_leave
I am writing this email to let you know that I will be missing classes for a short time because I will be traveling.,travel_leave
I am reaching out to let you know that I will be unable to attend classes for the next couple of days/weeks because I will be traveling out of the country.,travel_leave
I just wanted to let you know that I will be absent from classes for a few days/weeks due to my travel plans.,travel_leave
I am sending this email to let you know that I will be out of down and unable to attend classes for the next few days/weeks.,travel_leave
I will not be able to attend the classes this week because I will be out of the country due to an emergency that came up.,travel_leave
"Unfortunately, I won’t be able to attend classes this because I will be out of the country due to an emergency.",travel_leave
I am sorry to say that I won't be able to make it to classes this week because I have planned for an unexpected trip.,travel_leave
"I am writing to let you know that I won't be able to attend classes this week because of an emergency that has come up, and I will be out of the country.",travel_leave
